Category,State/UT/City,Bankruptcy or Indebtedness - Male,Bankruptcy or Indebtedness - Female,Bankruptcy or Indebtedness - Transgender,Bankruptcy or Indebtedness - Total,Marriage Related Issues (Total) - Male,Marriage Related Issues (Total) - Female,Marriage Related Issues (Total) - Transgender,Marriage Related Issues (Total) - Total,Marriage Related Issues (Non-Settlement of Marriage) - Male,Marriage Related Issues (Non-Settlement of Marriage) - Female,Marriage Related Issues (Non-Settlement of Marriage) - Transgender,Marriage Related Issues (Non-Settlement of Marriage) - Total,Marriage Related Issues (Dowry Related Issues) - Male,Marriage Related Issues (Dowry Related Issues) - Female,Marriage Related Issues (Dowry Related Issues) - Transgender,Marriage Related Issues (Dowry Related Issues) - Total,Marriage Related Issues (Extra Marital affairs) - Male,Marriage Related Issues (Extra Marital affairs) - Female,Marriage Related Issues (Extra Marital affairs) - Transgender,Marriage Related Issues (Extra Marital affairs) - Total,Marriage Related Issues (Divorce) - Male,Marriage Related Issues (Divorce) - Female,Marriage Related Issues (Divorce) - Transgender,Marriage Related Issues (Divorce) - Total,Marriage Related Issues (Others) - Male,Marriage Related Issues (Others) - Female,Marriage Related Issues (Others) - Transgender,Marriage Related Issues (Others) - Total,Failure in Examination - Male,Failure in Examination - Female,Failure in Examination - Transgender,Failure in Examination - Total,Impotency/Infertility - Male,Impotency/Infertility - Female,Impotency/Infertility - Transgender,Impotency/Infertility - Total,Family Problems - Male,Family Problems - Female,Family Problems - Transgender,Family Problems - Total,Illness (Total) - Male,Illness (Total) - Female,Illness (Total) - Transgender,Illness (Total) - Total,Illness (AIDS/STD) - Male,Illness (AIDS/STD) - Female,Illness (AIDS/STD) - Transgender,Illness (AIDS/STD) - Total,Illness (Cancer) - Male,Illness (Cancer) - Female,Illness (Cancer) - Transgender,Illness (Cancer) - Total,Illness (Paralysis) - Male,Illness (Paralysis) - Female,Illness (Paralysis) - Transgender,Illness (Paralysis) - Total,Illness (Insanity/Mental illness) - Male,Illness (Insanity/Mental illness) - Female,Illness (Insanity/Mental illness) - Transgender,Illness (Insanity/Mental illness) - Total,Illness (Other Prolonged Illness) - Male,Illness (Other Prolonged Illness) - Female,Illness (Other Prolonged Illness) - Transgender,Illness (Other Prolonged Illness) - Total,Death of Dear Person - Male,Death of Dear Person - Female,Death of Dear Person - Transgender,Death of Dear Person - Total,Drug Abuse/Alcoholic Addiction - Male,Drug Abuse/Alcoholic Addiction - Female,Drug Abuse/Alcoholic Addiction - Transgender,Drug Abuse/Alcoholic Addiction - Total,Fall in Social Reputation - Male,Fall in Social Reputation - Female,Fall in Social Reputation - Transgender,Fall in Social Reputation - Total,Ideological Causes/Hero Worshipping - Male,Ideological Causes/Hero Worshipping - Female,Ideological Causes/Hero Worshipping - Transgender,Ideological Causes/Hero Worshipping - Total,Love Affairs - Male,Love Affairs - Female,Love Affairs - Transgender,Love Affairs - Total,Poverty - Male,Poverty - Female,Poverty - Transgender,Poverty - Total,Unemployment - Male,Unemployment - Female,Unemployment - Transgender,Unemployment - Total,Property Dispute - Male,Property Dispute - Female,Property Dispute - Transgender,Property Dispute - Total,Suspected/ Illicit Relation (Other than Extra Marital Affairs) - Male,Suspected/ Illicit Relation (Other than Extra Marital Affairs) - Female,Suspected/ Illicit Relation (Other than Extra Marital Affairs) - Transgender,Suspected/ Illicit Relation (Other than Extra Marital Affairs) - Total,Illegitimate Pregnancy (Other thanExtra Marital Affairs) - Male,Illegitimate Pregnancy (Other thanExtra Marital Affairs) - Female,Illegitimate Pregnancy (Other thanExtra Marital Affairs) - Transgender,Illegitimate Pregnancy (Other thanExtra Marital Affairs) - Total,"Physical Abuse (Rape, etc.) - Male","Physical Abuse (Rape, etc.) - Female","Physical Abuse (Rape, etc.) - Transgender","Physical Abuse (Rape, etc.) - Total",Professional/Career Problem - Male,Professional/Career Problem - Female,Professional/Career Problem - Transgender,Professional/Career Problem - Total,Causes Not Known - Male,Causes Not Known - Female,Causes Not Known - Transgender,Causes Not Known - Total,Other Causes - Male,Other Causes - Female,Other Causes - Transgender,Other Causes - Total,Total - Male,Total - Female,Total - Transgender,Total - Total
State,Rajasthan,26,4,0,30,344,185,0,529,209,77,0,286,29,30,0,59,61,48,0,109,35,24,0,59,10,6,0,16,44,39,0,83,1,0,0,1,1629,641,0,2270,634,206,0,840,0,0,0,0,20,12,0,32,11,3,0,14,495,149,0,644,108,42,0,150,8,10,0,18,169,17,0,186,25,7,0,32,0,0,0,0,425,212,0,637,37,3,0,40,106,4,0,110,98,19,0,117,44,18,0,62,0,0,0,0,0,0,0,0,38,16,0,54,429,142,0,571,0,13,0,13,4057,1536,0,5593
State,Sikkim,0,0,0,0,1,6,0,7,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,5,0,5,0,0,0,0,0,2,0,2,9,7,0,16,94,25,0,119,0,0,0,0,0,1,0,1,3,0,0,3,68,18,0,86,23,6,0,29,3,0,0,3,49,6,0,55,2,0,0,2,0,0,0,0,9,2,0,11,0,0,0,0,8,1,0,9,1,1,0,2,0,0,0,0,0,0,0,0,0,2,0,2,5,2,0,7,11,8,0,19,8,4,0,12,200,66,0,266
State,Tamil Nadu,469,75,0,544,187,148,0,335,103,66,0,169,5,22,0,27,27,24,0,51,16,8,0,24,36,28,0,64,61,41,0,102,37,36,0,73,5413,2656,4,8073,3402,1982,2,5386,6,7,0,13,99,53,0,152,120,49,0,169,925,553,1,1479,2252,1320,1,3573,327,159,0,486,1587,3,0,1590,8,1,0,9,3,0,0,3,445,255,0,700,12,4,0,16,382,40,0,422,96,38,0,134,67,76,0,143,0,1,0,1,0,1,0,1,239,31,0,270,90,39,0,129,365,139,4,508,13190,5725,10,18925
State,Telangana,1225,160,0,1385,137,79,0,216,71,23,0,94,0,0,0,0,36,32,0,68,4,15,0,19,26,9,0,35,38,13,0,51,5,3,0,8,3748,716,0,4464,788,754,0,1542,5,2,0,7,27,10,0,37,56,11,0,67,300,316,0,616,400,415,0,815,70,7,0,77,65,3,0,68,5,0,0,5,0,0,0,0,150,39,0,189,1,6,0,7,25,3,0,28,19,7,0,26,0,0,0,0,0,0,0,0,0,0,0,0,12,10,0,22,715,142,0,857,960,264,2,1226,7963,2206,2,10171
State,Tripura,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,382,162,0,544,108,36,0,144,0,0,0,0,2,0,0,2,8,4,0,12,86,32,0,118,12,0,0,12,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,32,26,0,58,0,0,0,0,2,0,0,2,7,0,0,7,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543,228,0,771
State,Uttar Pradesh,0,0,0,0,406,662,0,1068,115,149,0,264,103,349,0,452,89,64,0,153,0,0,0,0,99,100,0,199,28,29,0,57,0,0,0,0,1347,888,0,2235,228,89,0,317,0,0,0,0,4,1,0,5,4,0,0,4,141,49,0,190,79,39,0,118,25,2,0,27,163,15,0,178,26,6,0,32,0,0,0,0,314,282,0,596,71,16,0,87,105,16,0,121,59,22,0,81,0,0,0,0,0,0,0,0,4,8,0,12,48,7,0,55,408,158,0,566,317,183,0,500,3549,2383,0,5932
State,Uttarakhand,2,0,0,2,85,30,0,115,16,12,0,28,0,0,0,0,0,0,0,0,0,0,0,0,69,18,0,87,1,0,0,1,0,0,0,0,137,83,0,220,1,4,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2,1,1,0,2,0,0,0,0,2,0,0,2,7,2,0,9,0,0,0,0,10,16,0,26,12,5,0,17,27,0,0,27,0,0,0,0,7,10,0,17,0,0,0,0,0,0,0,0,35,18,0,53,95,86,0,181,42,0,0,42,463,254,0,717
State,West Bengal,0,0,0,0,247,603,0,850,55,104,0,159,0,176,0,176,64,77,0,141,4,13,0,17,124,233,0,357,1,0,0,1,0,0,0,0,1570,1134,0,2704,675,257,0,932,0,0,0,0,8,5,0,13,8,0,0,8,573,190,0,763,86,62,0,148,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,389,380,0,769,0,0,0,0,20,5,0,25,278,60,0,338,4,0,0,4,0,0,0,0,0,0,0,0,12,0,0,12,2189,1126,0,3315,2902,1644,1,4547,8290,5209,1,13500
State,Total (States),5822,473,0,6295,3715,3887,1,7603,1589,994,0,2583,211,1403,1,1615,827,571,0,1398,333,210,0,543,755,709,0,1464,950,644,0,1594,183,218,0,401,37800,15479,7,53286,20676,9338,6,30020,97,26,1,124,898,335,0,1233,920,270,0,1190,9589,4053,2,13644,9172,4654,3,13829,1262,641,0,1903,10124,274,1,10399,733,152,0,885,121,41,0,162,4567,2823,2,7392,1509,232,0,1741,2921,293,0,3214,1491,350,0,1841,409,272,0,681,0,50,0,50,24,51,0,75,2135,410,0,2545,11263,4093,2,15358,10323,4205,7,14535,116028,43926,26,159980
UT,Andaman and Nicobar Islands,1,0,0,1,1,1,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,16,8,0,24,44,9,0,53,0,0,0,0,0,0,0,0,0,0,0,0,16,5,0,21,28,4,0,32,2,0,0,2,13,0,0,13,0,0,0,0,0,0,0,0,4,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,5,37,16,0,53,122,37,0,159
UT,Chandigarh,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,3,0,8,0,0,0,0,23,23,0,46,15,3,0,18,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2,11,3,0,14,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,2,2,0,4,0,0,0,0,13,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,9,6,1,0,7,5,1,0,6,84,36,0,120
UT,Dadra and Nicobar Haveli and Daman and Diu,1,0,0,1,8,4,0,12,3,1,0,4,0,0,0,0,4,2,0,6,1,0,0,1,0,1,0,1,4,2,0,6,0,1,0,1,33,16,0,49,10,3,0,13,0,0,0,0,1,1,0,2,0,1,0,1,9,1,0,10,0,0,0,0,4,1,0,5,18,0,0,18,6,1,0,7,0,0,0,0,22,10,0,32,0,0,0,0,10,0,0,10,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,15,0,0,0,0,127,44,0,171
UT,Delhi,35,1,0,36,84,154,0,238,24,30,0,54,9,87,0,96,24,20,0,44,15,7,0,22,12,10,0,22,27,30,0,57,2,3,0,5,649,192,0,841,176,42,0,218,1,0,0,1,10,1,0,11,5,1,0,6,75,11,0,86,85,29,0,114,12,1,0,13,113,1,0,114,6,0,0,6,0,0,0,0,67,50,0,117,18,3,0,21,248,39,1,288,38,1,0,39,7,6,0,13,0,0,0,0,1,2,0,3,29,4,0,33,377,125,0,502,204,92,0,296,2093,746,1,2840
UT,Jammu and Kashmir,4,0,0,4,11,21,0,32,0,6,0,6,0,12,0,12,0,0,0,0,0,0,0,0,11,3,0,14,5,3,0,8,0,0,0,0,40,27,0,67,6,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,8,0,1,0,1,1,1,0,2,6,0,0,6,0,0,0,0,0,0,0,0,2,6,0,8,7,9,0,16,11,4,0,15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,6,30,17,0,47,15,11,0,26,144,103,0,247
UT,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,3,0,0,3,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10,1,0,11
UT,Lakshadweep,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
UT,Puducherry,16,8,0,24,10,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,12,0,0,0,0,0,0,0,0,72,24,0,96,85,28,0,113,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,20,70,23,0,93,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,1,39,142,71,0,213,370,133,1,504
UT,Total (UTs),57,9,0,66,118,182,0,300,27,37,0,64,9,100,0,109,28,22,0,50,16,7,0,23,38,16,0,54,41,38,0,79,2,4,0,6,834,290,0,1124,338,88,0,426,1,0,0,1,11,2,0,13,7,2,0,9,124,24,0,148,195,60,0,255,19,3,0,22,160,1,0,161,15,1,0,16,0,0,0,0,100,71,0,171,26,12,0,38,282,44,1,327,40,1,0,41,9,6,0,15,0,0,0,0,1,2,0,3,41,7,0,48,465,150,1,616,403,191,0,594,2951,1100,2,4053
Total (All India),Total (All India),5879,482,0,6361,3833,4069,1,7903,1616,1031,0,2647,220,1503,1,1724,855,593,0,1448,349,217,0,566,793,725,0,1518,991,682,0,1673,185,222,0,407,38634,15769,7,54410,21014,9426,6,30446,98,26,1,125,909,337,0,1246,927,272,0,1199,9713,4077,2,13792,9367,4714,3,14084,1281,644,0,1925,10284,275,1,10560,748,153,0,901,121,41,0,162,4667,2894,2,7563,1535,244,0,1779,3203,337,1,3541,1531,351,0,1882,418,278,0,696,0,50,0,50,25,53,0,78,2176,417,0,2593,11728,4243,3,15974,10726,4396,7,15129,118979,45026,28,164033
City,Agra,0,0,0,0,0,5,0,5,0,3,0,3,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,16,0,61,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,0,23,66,33,0,99
City,Ahmedabad,3,0,0,3,22,10,0,32,2,1,0,3,0,0,0,0,1,0,0,1,4,4,0,8,15,5,0,20,8,5,0,13,3,3,0,6,105,60,0,165,153,47,0,200,1,0,0,1,4,1,0,5,3,0,0,3,66,22,0,88,79,24,0,103,6,9,0,15,33,2,0,35,1,1,0,2,7,4,0,11,29,22,0,51,0,0,0,0,54,3,0,57,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,50,0,0,50,248,96,0,344,3,2,0,5,727,264,0,991
City,Allahabad,0,0,0,0,6,5,0,11,6,3,0,9,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,5,0,0,0,0,9,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,7,0,0,0,0,5,0,0,5,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,31,14,0,45
City,Amritsar,1,0,0,1,4,5,0,9,0,0,0,0,0,1,0,1,4,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,11,19,6,0,25,0,0,0,0,0,0,0,0,0,0,0,0,19,6,0,25,0,0,0,0,0,1,0,1,2,0,0,2,5,1,0,6,0,0,0,0,3,1,0,4,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,50,19,0,69
City,Asansol,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,37,0,135,129,19,0,148,0,0,0,0,0,0,0,0,0,0,0,0,129,19,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,84,0,188,1,0,0,1,333,144,0,477
City,Aurangabad,0,0,0,0,3,2,0,5,3,0,0,3,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,5,0,7,0,0,0,0,150,33,0,183,28,3,0,31,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,8,22,1,0,23,0,0,0,0,20,0,0,20,0,0,0,0,17,6,0,23,3,0,0,3,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,8,0,0,8,3,0,0,3,248,49,0,297
City,Bengaluru,102,14,0,116,34,19,0,53,10,9,0,19,0,3,0,3,4,1,0,5,0,2,0,2,20,4,0,24,11,17,0,28,0,3,0,3,649,335,0,984,336,154,1,491,1,0,0,1,2,1,0,3,7,0,0,7,113,64,0,177,213,89,1,303,16,15,0,31,144,2,0,146,10,2,0,12,0,1,0,1,90,46,0,136,31,8,0,39,89,7,0,96,2,2,0,4,1,5,0,6,0,7,0,7,0,0,0,0,66,8,0,74,49,15,1,65,0,0,0,0,1630,660,2,2292
City,Bhopal,6,5,0,11,11,26,0,37,0,0,0,0,0,19,0,19,1,0,0,1,2,0,0,2,8,7,0,15,5,7,0,12,0,2,0,2,52,17,0,69,91,26,0,117,0,0,0,0,3,0,0,3,0,0,0,0,39,8,0,47,49,18,0,67,5,2,0,7,63,3,0,66,1,1,0,2,0,0,0,0,15,10,0,25,1,1,0,2,5,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,3,138,45,0,183,18,5,0,23,414,152,0,566
City,Chandigarh (City),0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,3,0,8,0,0,0,0,23,23,0,46,15,3,0,18,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,2,11,3,0,14,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,2,2,0,4,0,0,0,0,13,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,9,6,1,0,7,5,1,0,6,84,36,0,120
City,Chennai,193,32,0,225,54,43,0,97,25,6,0,31,1,10,0,11,3,5,0,8,6,2,0,8,19,20,0,39,4,2,0,6,17,17,0,34,518,221,2,741,363,189,1,553,1,1,0,2,21,9,0,30,0,0,0,0,77,45,0,122,264,134,1,399,59,30,0,89,299,0,0,299,0,0,0,0,0,0,0,0,80,32,0,112,1,0,0,1,101,10,0,111,9,1,0,10,16,6,0,22,0,0,0,0,0,1,0,1,21,1,0,22,17,12,0,29,256,90,1,347,2008,687,4,2699
City,Coimbatore,4,1,0,5,3,1,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,95,44,0,139,70,33,0,103,0,0,0,0,2,1,0,3,0,0,0,0,13,4,0,17,55,28,0,83,8,7,0,15,51,0,0,51,0,0,0,0,0,0,0,0,13,3,0,16,2,1,0,3,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0,28,5,4,0,9,1,0,0,1,293,97,0,390
City,Delhi (City),35,1,0,36,84,154,0,238,24,30,0,54,9,87,0,96,24,20,0,44,15,7,0,22,12,10,0,22,27,30,0,57,2,3,0,5,631,183,0,814,176,42,0,218,1,0,0,1,10,1,0,11,5,1,0,6,75,11,0,86,85,29,0,114,12,1,0,13,113,1,0,114,6,0,0,6,0,0,0,0,67,50,0,117,18,8,0,26,248,34,1,283,38,1,0,39,7,6,0,13,0,0,0,0,1,2,0,3,29,4,0,33,356,117,0,473,191,81,0,272,2041,718,1,2760
City,Dhanbad,0,0,0,0,0,14,0,14,0,6,0,6,0,3,0,3,0,3,0,3,0,2,0,2,0,0,0,0,16,13,0,29,0,0,0,0,10,10,0,20,6,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,7,0,0,0,0,4,0,0,4,0,0,0,0,2,0,0,2,0,0,0,0,4,9,0,13,0,0,0,0,15,0,0,15,6,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,50,0,113
City,Durg Bhilainagar,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,236,55,0,291,8,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,10,0,0,0,0,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,9,7,1,0,8,5,0,0,5,2,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,74,0,338
City,Faridabad,0,0,0,0,11,9,0,20,5,3,0,8,0,4,0,4,6,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,12,0,31,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,1,0,0,1,0,2,0,2,24,0,0,24,0,0,0,0,0,0,0,0,11,7,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,190,47,0,237,0,0,0,0,262,77,0,339
City,Ghaziabad,0,0,0,0,0,4,0,4,0,0,0,0,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,17,0,49,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,3,0,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,22,0,64
City,Gwalior,5,0,0,5,2,16,0,18,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,110,36,0,146,30,15,0,45,0,0,0,0,0,0,0,0,1,0,0,1,21,11,0,32,8,4,0,12,4,1,0,5,48,1,0,49,0,0,0,0,0,0,0,0,12,4,0,16,7,0,0,7,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,20,6,0,26,0,0,0,0,240,80,0,320
City,Hyderabad,87,9,0,96,11,0,0,11,8,0,0,8,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,99,41,0,140,83,38,0,121,0,0,0,0,4,2,0,6,6,0,0,6,73,36,0,109,0,0,0,0,16,8,0,24,2,1,0,3,0,0,0,0,0,0,0,0,26,2,0,28,0,0,0,0,15,0,0,15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,13,43,8,0,51,60,5,0,65,458,113,0,571
City,Indore,4,0,0,4,0,19,0,19,0,0,0,0,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,0,0,0,0,165,90,0,255,18,5,0,23,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,20,2,1,0,3,4,6,0,10,67,0,0,67,0,0,0,0,0,0,0,0,23,10,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233,89,0,322,0,0,0,0,517,220,0,737
City,Jabalpur,0,0,0,0,20,14,0,34,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,20,10,0,30,0,0,0,0,1,0,0,1,9,3,0,12,49,15,0,64,0,0,0,0,1,0,0,1,0,0,0,0,11,7,0,18,37,8,0,45,1,0,0,1,40,3,0,43,0,1,0,1,0,0,0,0,6,8,0,14,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,29,11,0,40,2,0,0,2,158,56,0,214
City,Jaipur,0,0,0,0,7,7,0,14,1,2,0,3,1,1,0,2,5,4,0,9,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,193,69,0,262,29,12,0,41,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,8,23,10,0,33,1,1,0,2,8,0,0,8,12,5,0,17,0,0,0,0,25,20,0,45,0,0,0,0,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,142,41,0,183,0,0,0,0,435,158,0,593
City,Jamshedpur,2,2,0,4,3,4,0,7,0,0,0,0,0,0,0,0,3,1,0,4,0,3,0,3,0,0,0,0,16,10,0,26,0,1,0,1,8,5,0,13,4,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,8,0,0,0,0,3,0,0,3,5,0,0,5,2,0,0,2,0,0,0,0,11,6,0,17,3,1,0,4,2,1,0,3,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,4,1,0,5,3,2,0,5,5,2,0,7,72,40,0,112
City,Jodhpur,0,0,0,0,12,5,0,17,10,2,0,12,0,0,0,0,0,0,0,0,2,3,0,5,0,0,0,0,4,2,0,6,0,0,0,0,47,15,0,62,24,8,0,32,0,0,0,0,4,1,0,5,0,0,0,0,17,6,0,23,3,1,0,4,0,2,0,2,6,0,0,6,0,0,0,0,0,0,0,0,4,3,0,7,0,0,0,0,38,0,0,38,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,3,0,4,0,0,0,0,144,40,0,184
City,Kannur,5,0,0,5,1,2,0,3,1,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,118,44,1,163,73,53,0,126,0,0,0,0,6,4,0,10,3,1,0,4,64,42,0,106,0,6,0,6,5,2,0,7,45,0,0,45,0,0,0,0,0,0,0,0,12,1,0,13,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,9,0,0,0,0,0,0,0,0,273,105,1,379
City,Kanpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,8,0,0,0,0,197,125,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,12,229,143,0,372
City,Kochi,9,2,0,11,2,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,1,0,3,0,0,0,0,201,38,2,241,14,6,0,20,0,0,0,0,3,0,0,3,0,0,0,0,4,1,0,5,7,5,0,12,2,1,0,3,8,0,0,8,1,0,0,1,0,0,0,0,3,7,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,1,0,0,0,0,243,57,4,304
